mouse_gene_id	human_ortholog_id	disease_id	any_phenodigm_match	disease_phenotype
MGI:104754	HGNC:11142	OMIM:616341|ORPHA:1934|ORPHA:1935|ORPHA:3451	Y	Y
MGI:104767	HGNC:4556	OMIM:250220|ORPHA:93317	Y	Y
MGI:104769	HGNC:18169	OMIM:259450|OMIM:610968|ORPHA:1149|ORPHA:216812|ORPHA:216820|ORPHA:2771	N	Y
MGI:104779	HGNC:9413	OMIM:615966|ORPHA:317425	N	Y
MGI:104781	HGNC:6267	OMIM:614098|ORPHA:435628	Y	Y
MGI:104785	HGNC:7605	OMIM:606346|OMIM:607821|ORPHA:228012|ORPHA:90635|ORPHA:90636	Y	Y
MGI:104793	HGNC:1535	ORPHA:102724	N	N
MGI:104797	HGNC:6709	OMIM:607507|OMIM:608446|OMIM:610988	N	N
MGI:104807	HGNC:9091	OMIM:300910|ORPHA:391330	Y	Y
MGI:104849	HGNC:2665	OMIM:226300|OMIM:613793	Y	Y
MGI:104871	HGNC:9282	OMIM:617506|ORPHA:2701	N	Y
MGI:104874	HGNC:392	OMIM:125853|OMIM:240900|ORPHA:293964|ORPHA:79085	Y	Y
MGI:104887	HGNC:4553	OMIM:614164	N	Y
MGI:104897	HGNC:9966	OMIM:612431|OMIM:616806|OMIM:617626|ORPHA:2024|ORPHA:654	Y	Y
MGI:104976	HGNC:2747	OMIM:618653	N	N
MGI:104978	HGNC:2652	OMIM:270800|OMIM:613812|ORPHA:100986|ORPHA:79302	N	Y
MGI:104993	HGNC:6554	OMIM:614963|ORPHA:179494	Y	Y
MGI:105058	HGNC:811	OMIM:601003|ORPHA:53347	N	Y
MGI:105070	HGNC:11946	OMIM:601680|ORPHA:1146|ORPHA:1147	Y	Y
MGI:105083	HGNC:10939	OMIM:222730|OMIM:615232|ORPHA:166412|ORPHA:2195	N	Y
MGI:105086	HGNC:9211	ORPHA:186	N	Y
MGI:105089	HGNC:5213	OMIM:233400|OMIM:261515|ORPHA:2855|ORPHA:300	Y	Y
MGI:105090	HGNC:11051	OMIM:614618|ORPHA:3197	Y	Y
MGI:105098	HGNC:12496	OMIM:105830|ORPHA:238446|ORPHA:411511|ORPHA:411515|ORPHA:98794|ORPHA:98795	Y	Y
MGI:105108	HGNC:14906	OMIM:614851|ORPHA:319675	Y	Y
MGI:105303	HGNC:6027	ORPHA:420699	N	N
MGI:105304	HGNC:6019	OMIM:614689|OMIM:614752	N	N
MGI:105313	HGNC:1985	OMIM:617090|ORPHA:2512	N	Y
MGI:105368	HGNC:815	OMIM:601386|ORPHA:90636	N	Y
MGI:105382	HGNC:6485	ORPHA:521450	N	N
MGI:105923	HGNC:3179	OMIM:157300|OMIM:616367|ORPHA:443995	N	Y
MGI:105937	HGNC:5394	OMIM:610984|OMIM:612923|OMIM:615439|ORPHA:200418|ORPHA:244242|ORPHA:244275|ORPHA:544472|ORPHA:75376	Y	Y
MGI:105959	HGNC:2294	OMIM:220110|ORPHA:254905	Y	Y
MGI:105975	HGNC:1037	OMIM:612924|OMIM:615489|OMIM:615561|ORPHA:544472	Y	Y
MGI:105976	HGNC:7602	OMIM:214450|ORPHA:33445|ORPHA:79476|ORPHA:79478	Y	Y
MGI:105977	HGNC:4057	OMIM:300908|OMIM:611162|ORPHA:466026	Y	Y
MGI:106091	HGNC:2651	ORPHA:209902	Y	Y
MGI:106096	HGNC:6665	OMIM:177650	N	Y
MGI:106100	HGNC:3483	OMIM:231680|ORPHA:394529|ORPHA:394532	Y	Y
MGI:106209	HGNC:4861	OMIM:616911|ORPHA:2268	Y	Y
MGI:106211	HGNC:1736	OMIM:616737|ORPHA:487796	Y	Y
MGI:106299	HGNC:23845	OMIM:613951|ORPHA:84	Y	Y
MGI:106642	HGNC:932	OMIM:607748|ORPHA:238475	Y	Y
MGI:106687	HGNC:9205	ORPHA:803	N	Y
MGI:106921	HGNC:10589	OMIM:615378|ORPHA:130|ORPHA:334	Y	Y
MGI:107164	HGNC:9314	OMIM:617711|OMIM:618265|ORPHA:178469|ORPHA:442835	N	Y
MGI:107185	HGNC:1618	OMIM:256840|ORPHA:139578	N	Y
MGI:107189	HGNC:349	OMIM:203650|ORPHA:2850	Y	Y
MGI:107252	HGNC:25994	OMIM:611091|ORPHA:235|ORPHA:88616	Y	Y
MGI:107285	HGNC:2535	ORPHA:2073	N	Y
MGI:107339	HGNC:13780	OMIM:609060|ORPHA:137681	N	Y
MGI:107363	HGNC:11444	OMIM:612164|ORPHA:178469|ORPHA:1934|ORPHA:3095|ORPHA:33069|ORPHA:3451|ORPHA:442835|ORPHA:495818	N	Y
MGI:107374	HGNC:9004	OMIM:119800|OMIM:186550|ORPHA:1275|ORPHA:293144|ORPHA:293150|ORPHA:498494	Y	Y
MGI:107384	HGNC:2972	OMIM:616346|ORPHA:2382|ORPHA:442835	N	Y
MGI:107404	HGNC:11590	OMIM:606053|ORPHA:1617|ORPHA:280640	N	Y
MGI:107405	HGNC:3122	ORPHA:157769	N	N
MGI:107420	HGNC:6112	ORPHA:536|ORPHA:93552	N	Y
MGI:107443	HGNC:3826	ORPHA:447740	N	N
MGI:107448	HGNC:1968	OMIM:214500|ORPHA:167|ORPHA:352723	Y	Y
MGI:107460	HGNC:2280	OMIM:220110|ORPHA:254905	N	Y
MGI:107464	HGNC:9059	OMIM:614669|ORPHA:137888	Y	Y
MGI:107476	HGNC:11386	OMIM:160565|OMIM:185070|OMIM:612783|ORPHA:2593|ORPHA:317430|ORPHA:3204	Y	Y
MGI:107489	HGNC:8918	OMIM:307800|ORPHA:89936	Y	Y
MGI:107501	HGNC:6257	OMIM:125853|OMIM:601820|OMIM:606176|OMIM:610582|OMIM:616329|ORPHA:276580|ORPHA:276603|ORPHA:552|ORPHA:79134|ORPHA:79644|ORPHA:99885|ORPHA:99886|ORPHA:99989	Y	Y
MGI:107563	HGNC:7627	ORPHA:2126	Y	Y
MGI:107567	HGNC:29597	OMIM:607948|OMIM:612278	N	Y
MGI:107569	HGNC:3423	OMIM:261500	Y	Y
MGI:107570	HGNC:1529	OMIM:123320|OMIM:192600|OMIM:606072|OMIM:611818|OMIM:614321|ORPHA:101016|ORPHA:206599|ORPHA:488650|ORPHA:97238	N	Y
MGI:107572	HGNC:592	OMIM:300635|ORPHA:538934	N	Y
MGI:107624	HGNC:7530	OMIM:175900|OMIM:260920|OMIM:610377|ORPHA:29|ORPHA:343|ORPHA:735|ORPHA:79152	Y	Y
MGI:107656	HGNC:5438	OMIM:607948|OMIM:609135|OMIM:609423|OMIM:609532|OMIM:613254|ORPHA:88	Y	Y
MGI:107701	HGNC:986	OMIM:248600|ORPHA:268145|ORPHA:268162|ORPHA:268173|ORPHA:268184	N	Y
MGI:107718	HGNC:2950	OMIM:608644|ORPHA:244	N	Y
MGI:107721	HGNC:2940	OMIM:617576|OMIM:617577|ORPHA:244|ORPHA:276234	N	Y
MGI:107730	HGNC:5112	OMIM:610997|ORPHA:1331	N	N
MGI:107736	HGNC:2962	OMIM:613091|ORPHA:474|ORPHA:93269|ORPHA:93270|ORPHA:93271	N	Y
MGI:107745	HGNC:2711	OMIM:105400|OMIM:168605|OMIM:607641|ORPHA:139589|ORPHA:178509|ORPHA:803	N	Y
MGI:107750	HGNC:2964	OMIM:618492	N	Y
MGI:107755	HGNC:7763	OMIM:618374|ORPHA:1934	Y	Y
MGI:107807	HGNC:29594	OMIM:615159|ORPHA:1460	N	Y
MGI:107823	HGNC:2536	OMIM:265800|ORPHA:763	Y	Y
MGI:107851	HGNC:7716	OMIM:618225|ORPHA:255241|ORPHA:2609	N	Y
MGI:107852	HGNC:4440	OMIM:231200|ORPHA:140957|ORPHA:274|ORPHA:567|ORPHA:853	Y	Y
MGI:107861	HGNC:12412	OMIM:615763	N	Y
MGI:107877	HGNC:9411	OMIM:174050|ORPHA:2924	N	Y
MGI:107893	HGNC:1184	OMIM:618221|ORPHA:88616	Y	Y
MGI:107931	HGNC:11280	OMIM:167250|OMIM:616437|OMIM:617145|OMIM:617158|ORPHA:275864|ORPHA:275872|ORPHA:603|ORPHA:803	N	Y
MGI:107940	HGNC:3527	OMIM:277590|ORPHA:3447	N	Y
MGI:107953	HGNC:20716	OMIM:609541|ORPHA:320406	Y	Y
MGI:108005	HGNC:7562	OMIM:153600|OMIM:612260|ORPHA:183713|ORPHA:33226	Y	Y
MGI:108011	HGNC:22448	OMIM:611548	Y	Y
MGI:108028	HGNC:882	OMIM:210600|OMIM:614564|ORPHA:313846|ORPHA:808	N	Y
MGI:108061	HGNC:12775	OMIM:225300|OMIM:617073|ORPHA:2440|ORPHA:99798	N	Y
MGI:108071	HGNC:13829	OMIM:150400|OMIM:224750|OMIM:257980|ORPHA:248|ORPHA:2721|ORPHA:50944|ORPHA:99798	Y	Y
MGI:108072	HGNC:12036	ORPHA:1810	N	Y
MGI:108074	HGNC:11278	OMIM:613640|ORPHA:36386	N	Y
MGI:108075	HGNC:11119	OMIM:601707|OMIM:605462|ORPHA:1553	N	Y
MGI:108080	HGNC:8824	OMIM:613982|ORPHA:216812|ORPHA:216820	N	Y
MGI:108084	HGNC:1859	OMIM:618358	Y	Y
MGI:108092	HGNC:1052	OMIM:255200|ORPHA:169186|ORPHA:169189	N	Y
MGI:108117	HGNC:3331	OMIM:310300|ORPHA:98863	Y	Y
MGI:108174	HGNC:9414	OMIM:615436|ORPHA:91387	Y	Y
MGI:108398	HGNC:11645	ORPHA:3287	N	Y
MGI:108399	HGNC:11631	OMIM:618430|ORPHA:528084	Y	Y
MGI:108403	HGNC:20422	OMIM:613717|ORPHA:861	N	Y
MGI:108426	HGNC:16636	OMIM:118210|OMIM:171300|OMIM:256700|ORPHA:29072|ORPHA:99946	Y	Y
MGI:108481	HGNC:535	OMIM:617839|ORPHA:803	N	Y
MGI:108495	HGNC:39080	OMIM:613239|ORPHA:79102	Y	Y
MGI:108520	HGNC:4042	OMIM:133780|ORPHA:891|ORPHA:90050|ORPHA:91495	N	Y
MGI:108571	HGNC:4043	ORPHA:98942|ORPHA:98943|ORPHA:98944|ORPHA:98945|ORPHA:98946|ORPHA:98947	N	N
MGI:109128	HGNC:5024	OMIM:125850|OMIM:125853|OMIM:616026|ORPHA:263455|ORPHA:552|ORPHA:93111	Y	Y
MGI:109129	HGNC:11540	OMIM:617126	N	Y
MGI:109169	HGNC:3374	OMIM:611783|ORPHA:247511|ORPHA:276624|ORPHA:276627|ORPHA:324299	Y	Y
MGI:109172	HGNC:3054	OMIM:125420|OMIM:125490|OMIM:125500|OMIM:605594|ORPHA:166260|ORPHA:166265|ORPHA:99789|ORPHA:99791	N	Y
MGI:109176	HGNC:2330	OMIM:255110|OMIM:600649|OMIM:608836|OMIM:614212|ORPHA:228302|ORPHA:228305|ORPHA:228308|ORPHA:263524	Y	Y
MGI:109183	HGNC:3668	OMIM:617166|ORPHA:442835	N	Y
MGI:109186	HGNC:7662	OMIM:613960|ORPHA:379	N	Y
MGI:109188	HGNC:19349	OMIM:135700|ORPHA:45358	N	Y
MGI:109279	HGNC:7863	OMIM:614736|ORPHA:361	Y	Y
MGI:109282	HGNC:16901	OMIM:615959|ORPHA:169186	N	Y
MGI:109321	HGNC:6484	OMIM:615235|ORPHA:154	Y	Y
MGI:109324	HGNC:3573	OMIM:613759|ORPHA:306550|ORPHA:99806	N	Y
MGI:109325	HGNC:3544	OMIM:227500|OMIM:608446|ORPHA:327	N	Y
MGI:109331	HGNC:18008	OMIM:618529|ORPHA:1507	Y	Y
MGI:109340	HGNC:9005	OMIM:137600|OMIM:180500|OMIM:180550|ORPHA:334|ORPHA:708|ORPHA:782|ORPHA:91481|ORPHA:91483|ORPHA:98978	Y	Y
MGI:109344	HGNC:3519	OMIM:113650|OMIM:166780|OMIM:602588|ORPHA:107|ORPHA:2792|ORPHA:52429	Y	Y
MGI:109355	HGNC:11433	ORPHA:586	N	Y
MGI:109359	HGNC:7745	OMIM:615565|ORPHA:791	Y	Y
MGI:109375	HGNC:4012	OMIM:616754	N	Y
MGI:109380	HGNC:5965	OMIM:610424|OMIM:612567|ORPHA:238569	Y	Y
MGI:109392	HGNC:3468	OMIM:618187|ORPHA:99361	Y	Y
MGI:109424	HGNC:34	OMIM:153800|OMIM:248200|OMIM:601718|OMIM:604116|ORPHA:1872|ORPHA:791|ORPHA:827	N	Y
MGI:109442	HGNC:6144	OMIM:191830|ORPHA:1848	Y	Y
MGI:109482	HGNC:1388	OMIM:108500|OMIM:141500|OMIM:183086|OMIM:617106|ORPHA:2131|ORPHA:442835|ORPHA:569|ORPHA:71518|ORPHA:97|ORPHA:98758	N	Y
MGI:109490	HGNC:11123	OMIM:309583|ORPHA:3063	Y	Y
MGI:109497	HGNC:15802	OMIM:617912|ORPHA:3303|ORPHA:334|ORPHA:402075	Y	Y
MGI:109514	HGNC:2482	OMIM:254800|ORPHA:248|ORPHA:308	Y	Y
MGI:109526	HGNC:12335	OMIM:616410|ORPHA:458798	Y	Y
MGI:109529	HGNC:9964	OMIM:618027|ORPHA:1465	Y	Y
MGI:1095405	HGNC:9586	OMIM:109400|OMIM:155255|OMIM:605462|ORPHA:141276|ORPHA:377	N	Y
MGI:109542	HGNC:18130	OMIM:270960|ORPHA:399805	N	Y
MGI:1095438	HGNC:11006	OMIM:125853|OMIM:227810|ORPHA:2088	N	Y
MGI:109547	HGNC:2974	OMIM:160150|OMIM:606482|OMIM:615368|ORPHA:100044|ORPHA:169189|ORPHA:228179|ORPHA:363409	Y	Y
MGI:109564	HGNC:6323	OMIM:604187|OMIM:617235|OMIM:617921|ORPHA:100991|ORPHA:324611	Y	Y
MGI:109565	HGNC:15840	OMIM:617284	N	Y
MGI:109611	HGNC:3052	OMIM:605676|OMIM:607450|OMIM:607655|OMIM:609638|OMIM:612908|OMIM:615821|ORPHA:158687|ORPHA:2032|ORPHA:293165|ORPHA:293888|ORPHA:293899|ORPHA:293910|ORPHA:369992|ORPHA:476096|ORPHA:50942|ORPHA:65282	Y	Y
MGI:109618	HGNC:854	OMIM:124480|OMIM:616455|ORPHA:3473|ORPHA:79499	Y	Y
MGI:109620	HGNC:728	ORPHA:567	Y	Y
MGI:1096335	HGNC:195	OMIM:614328|ORPHA:294023	N	Y
MGI:1096344	HGNC:470	OMIM:612874|ORPHA:45	N	Y
MGI:1096345	HGNC:4196	OMIM:613463	N	N
MGI:109637	HGNC:3444	OMIM:600775|OMIM:617180|ORPHA:207|ORPHA:2343|ORPHA:3267|ORPHA:35093	Y	Y
MGI:1096391	HGNC:8008	OMIM:614325|OMIM:614332|ORPHA:221150	Y	Y
MGI:1096392	HGNC:4845	OMIM:615871|OMIM:618482|ORPHA:36387|ORPHA:442835	Y	Y
MGI:1096393	HGNC:11094	OMIM:172800|OMIM:608890|ORPHA:2884|ORPHA:895	N	Y
MGI:1096397	HGNC:17264	OMIM:616462|ORPHA:1200	Y	Y
MGI:1096573	HGNC:1983	ORPHA:168583	N	N
MGI:1096574	HGNC:1375	OMIM:600852|ORPHA:791	Y	Y
MGI:1096873	HGNC:6119	OMIM:611724	N	N
MGI:1096875	HGNC:20751	OMIM:617520	N	Y
MGI:1096879	HGNC:3951	OMIM:229300|ORPHA:95	N	Y
MGI:1097712	HGNC:7897	OMIM:257220|ORPHA:216972|ORPHA:216975|ORPHA:216978|ORPHA:216981|ORPHA:216986	Y	Y
MGI:1097717	HGNC:15819	ORPHA:154	N	Y
MGI:1098230	HGNC:1856	OMIM:616051|ORPHA:808	N	Y
MGI:1098236	HGNC:1515	OMIM:616295|ORPHA:444138	Y	Y
MGI:1098244	HGNC:559	OMIM:609313|ORPHA:171851	N	Y
MGI:1098267	HGNC:8124	OMIM:203740|ORPHA:31	N	Y
MGI:1098274	HGNC:2606	OMIM:264700|ORPHA:289157	Y	Y
MGI:1098282	HGNC:1358	OMIM:613825|OMIM:615591|ORPHA:169150	N	Y
MGI:1098296	HGNC:2328	OMIM:255120|ORPHA:156	Y	Y
MGI:1098547	HGNC:14377	OMIM:613987|ORPHA:1775	Y	Y
MGI:1098566	HGNC:4704	OMIM:611162|OMIM:616089|ORPHA:288	Y	Y
MGI:1098597	HGNC:14313	OMIM:617895	N	Y
MGI:1098658	HGNC:11354	OMIM:617635|ORPHA:502434	N	Y
MGI:1098686	HGNC:18021	OMIM:226400|ORPHA:302	N	Y
MGI:1098733	HGNC:30521	OMIM:229050|ORPHA:90045	Y	Y
MGI:1098772	HGNC:8980	OMIM:603387|ORPHA:83473	N	Y
MGI:1098826	HGNC:19693	OMIM:616276|ORPHA:457185	N	Y
MGI:1099431	HGNC:11277	OMIM:162400|ORPHA:36386	N	Y
MGI:1099809	HGNC:3666	OMIM:149730|OMIM:180920|ORPHA:2363|ORPHA:86815	Y	Y
MGI:1099835	HGNC:10898	OMIM:614602|ORPHA:84064	Y	Y
MGI:1100498	HGNC:9006	OMIM:107250|OMIM:610623|ORPHA:162|ORPHA:98993	Y	Y
MGI:1100510	HGNC:1148	OMIM:114500|ORPHA:1052	N	Y
MGI:1100511	HGNC:7623	OMIM:616521|ORPHA:178469|ORPHA:528084	N	Y
MGI:1100859	HGNC:1482	OMIM:193235|ORPHA:329211	N	Y
MGI:1100869	HGNC:567	OMIM:617276|ORPHA:442835	Y	Y
MGI:1194504	HGNC:6256	OMIM:600791|OMIM:612780|ORPHA:199343|ORPHA:705	N	Y
MGI:1194508	HGNC:2728	OMIM:614507|ORPHA:300536	Y	Y
MGI:1194899	HGNC:33882	OMIM:617404|ORPHA:559	N	Y
MGI:1194909	HGNC:12371	OMIM:615481|ORPHA:244	N	Y
MGI:1194993	HGNC:3037	OMIM:613102|ORPHA:217407	N	Y
MGI:1195264	HGNC:11025	OMIM:220100|ORPHA:163690|ORPHA:163693|ORPHA:238523|ORPHA:93612	Y	Y
MGI:1195265	HGNC:8846	OMIM:604348|ORPHA:164736	N	Y
MGI:1196224	HGNC:1779	OMIM:618748	N	N
MGI:1196256	HGNC:29079	OMIM:616728|ORPHA:477993	Y	Y
MGI:1196293	HGNC:16691	OMIM:616335|ORPHA:2518	N	Y
MGI:1196297	HGNC:26527	OMIM:252930|OMIM:616544|ORPHA:791|ORPHA:79271	Y	Y
MGI:1196458	HGNC:1665	OMIM:254900|ORPHA:163696|ORPHA:308|ORPHA:77259	Y	Y
MGI:1196466	HGNC:3049	OMIM:610193|OMIM:612877|ORPHA:154|ORPHA:293888|ORPHA:293899|ORPHA:293910	Y	Y
MGI:1197010	HGNC:12502	OMIM:613705|ORPHA:99798	N	Y
MGI:1197012	HGNC:303	OMIM:618000|ORPHA:536532	Y	Y
MGI:1197015	HGNC:2681	ORPHA:100075	Y	Y
MGI:1197523	HGNC:9490	OMIM:226200|ORPHA:168601	Y	Y
MGI:1197527	HGNC:11992	OMIM:618097|OMIM:618098|ORPHA:508512	N	Y
MGI:1201406	HGNC:10906	OMIM:613291	N	Y
MGI:1201407	HGNC:30417	ORPHA:261197|ORPHA:261222|ORPHA:329249	Y	Y
MGI:1201682	HGNC:9787	ORPHA:75249	N	N
MGI:1201683	HGNC:3372	ORPHA:171703	N	Y
MGI:1201779	HGNC:5042	OMIM:300986	Y	Y
MGI:1202296	HGNC:11185	ORPHA:1020	Y	Y
MGI:1202301	HGNC:13890	OMIM:613385|ORPHA:228426	Y	Y
MGI:1202302	HGNC:9121	ORPHA:144	Y	Y
MGI:1202306	HGNC:4847	OMIM:161400|ORPHA:2073|ORPHA:83465	N	Y
MGI:1202392	HGNC:4446	OMIM:617810|ORPHA:529665	N	Y
MGI:1202398	HGNC:6309	OMIM:217300|ORPHA:53691	N	Y
MGI:1202717	HGNC:9508	OMIM:172700|OMIM:600274|OMIM:607822|OMIM:613694|OMIM:613737|ORPHA:100069|ORPHA:100070|ORPHA:1020|ORPHA:154|ORPHA:275864	Y	Y
MGI:1202879	HGNC:11641	OMIM:125853	N	Y
MGI:1202882	HGNC:10008|HGNC:10009	OMIM:617970|ORPHA:71275	N	N
MGI:1203729	HGNC:8971	OMIM:618440|ORPHA:557003	Y	Y
MGI:1203732	HGNC:10923	OMIM:300523|ORPHA:59	N	Y
